timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742164845114,129,GET Request/characters ,200,OK,Thread Group 100 1-2,text,true,,340,127,16,16,http://localhost:8080/characters,129,0,2
1742164845108,142,GET Request/characters ,200,OK,Thread Group 100 1-1,text,true,,340,127,16,16,http://localhost:8080/characters,142,0,2
1742164845244,34,GET  Request/character/id,200,OK,Thread Group 100 1-2,text,true,,268,128,19,19,http://localhost:8080/character/3,34,0,0
1742164845119,168,GET Request/characters ,200,OK,Thread Group 100 1-3,text,true,,340,127,20,20,http://localhost:8080/characters,168,0,1
1742164845279,420,POST Request//character new,201,Created,Thread Group 100 1-2,text,true,,272,222,61,61,http://localhost:8080/character,420,0,0
1742164845288,425,GET  Request/character/id,200,OK,Thread Group 100 1-3,text,true,,273,128,62,62,http://localhost:8080/character/2,425,0,0
1742164845251,471,GET  Request/character/id,404,Not Found,Thread Group 100 1-1,text,false,,273,128,63,63,http://localhost:8080/character/7,471,0,0
1742164845700,23,PUT Request/character/id edit,200,OK,Thread Group 100 1-2,text,true,,268,220,63,63,http://localhost:8080/character/3,23,0,0
1742164845723,7,POST Request//character new,201,Created,Thread Group 100 1-1,text,true,,272,222,64,64,http://localhost:8080/character,7,0,0
1742164845713,19,POST Request//character new,201,Created,Thread Group 100 1-3,text,true,,272,222,64,64,http://localhost:8080/character,19,0,0
1742164845731,11,PUT Request/character/id edit,404,Not Found,Thread Group 100 1-1,text,false,,273,220,65,65,http://localhost:8080/character/7,11,0,0
1742164845733,23,PUT Request/character/id edit,200,OK,Thread Group 100 1-3,text,true,,267,220,67,67,http://localhost:8080/character/5,23,0,0
1742164845724,37,DELETE Request delete,404,Not Found,Thread Group 100 1-2,text,false,,273,182,67,67,http://localhost:8080/character/9,37,0,0
1742164845742,43,DELETE Request delete,200,OK,Thread Group 100 1-1,text,true,,293,182,68,68,http://localhost:8080/character/3,43,0,0
1742164845756,79,DELETE Request delete,200,OK,Thread Group 100 1-3,text,true,,293,182,72,72,http://localhost:8080/character/4,79,0,0
1742164845274,698,GET Request/characters ,200,OK,Thread Group 100 1-19,text,true,,372,127,84,84,http://localhost:8080/characters,698,0,1
1742164845264,703,GET Request/characters ,200,OK,Thread Group 100 1-18,text,true,,372,127,84,84,http://localhost:8080/characters,703,0,1
1742164845255,710,GET Request/characters ,200,OK,Thread Group 100 1-17,text,true,,372,127,83,83,http://localhost:8080/characters,710,0,1
1742164845244,717,GET Request/characters ,200,OK,Thread Group 100 1-16,text,true,,372,127,83,83,http://localhost:8080/characters,717,0,1
1742164845239,609,GET Request/characters ,200,OK,Thread Group 100 1-15,text,true,,372,127,72,72,http://localhost:8080/characters,609,0,0
1742164845225,620,GET Request/characters ,200,OK,Thread Group 100 1-14,text,true,,372,127,72,72,http://localhost:8080/characters,620,0,1
1742164845214,628,GET Request/characters ,200,OK,Thread Group 100 1-13,text,true,,372,127,72,72,http://localhost:8080/characters,628,0,1
1742164845205,630,GET Request/characters ,200,OK,Thread Group 100 1-12,text,true,,405,127,72,72,http://localhost:8080/characters,630,0,1
1742164845205,554,GET Request/characters ,200,OK,Thread Group 100 1-11,text,true,,439,127,67,67,http://localhost:8080/characters,554,0,1
1742164845188,546,GET Request/characters ,200,OK,Thread Group 100 1-10,text,true,,439,127,64,64,http://localhost:8080/characters,546,0,2
1742164845176,553,GET Request/characters ,200,OK,Thread Group 100 1-9,text,true,,373,127,64,64,http://localhost:8080/characters,553,0,4
1742164845173,556,GET Request/characters ,200,OK,Thread Group 100 1-8,text,true,,373,127,64,64,http://localhost:8080/characters,556,0,1
1742164845152,576,GET Request/characters ,200,OK,Thread Group 100 1-6,text,true,,373,127,64,64,http://localhost:8080/characters,576,0,2
1742164845159,568,GET Request/characters ,200,OK,Thread Group 100 1-7,text,true,,373,127,64,64,http://localhost:8080/characters,568,0,2
1742164845139,586,GET Request/characters ,200,OK,Thread Group 100 1-5,text,true,,373,127,63,63,http://localhost:8080/characters,586,0,1
1742164845125,588,GET Request/characters ,200,OK,Thread Group 100 1-4,text,true,,373,127,62,62,http://localhost:8080/characters,588,0,1
1742164845973,6,GET  Request/character/id,200,OK,Thread Group 100 1-19,text,true,,273,128,85,85,http://localhost:8080/character/2,6,0,0
1742164845973,22,GET  Request/character/id,404,Not Found,Thread Group 100 1-16,text,false,,273,128,88,88,http://localhost:8080/character/4,22,0,0
1742164845973,22,GET  Request/character/id,200,OK,Thread Group 100 1-17,text,true,,267,128,88,88,http://localhost:8080/character/6,22,0,0
1742164845973,23,GET  Request/character/id,404,Not Found,Thread Group 100 1-14,text,false,,273,128,88,88,http://localhost:8080/character/8,23,0,0
1742164845973,23,GET  Request/character/id,404,Not Found,Thread Group 100 1-15,text,false,,273,128,88,88,http://localhost:8080/character/3,23,0,0
1742164845973,27,GET  Request/character/id,200,OK,Thread Group 100 1-18,text,true,,273,128,88,88,http://localhost:8080/character/2,27,0,0
1742164845973,29,GET  Request/character/id,404,Not Found,Thread Group 100 1-12,text,false,,273,128,88,88,http://localhost:8080/character/9,29,0,0
1742164845974,50,GET  Request/character/id,404,Not Found,Thread Group 100 1-13,text,false,,273,128,90,90,http://localhost:8080/character/9,50,0,0
1742164845974,52,GET  Request/character/id,404,Not Found,Thread Group 100 1-9,text,false,,273,128,90,90,http://localhost:8080/character/7,52,0,0
1742164845975,54,GET  Request/character/id,404,Not Found,Thread Group 100 1-4,text,false,,273,128,91,91,http://localhost:8080/character/9,54,0,0
1742164845974,56,GET  Request/character/id,200,OK,Thread Group 100 1-11,text,true,,267,128,91,91,http://localhost:8080/character/5,56,0,0
1742164845974,57,GET  Request/character/id,404,Not Found,Thread Group 100 1-8,text,false,,273,128,91,91,http://localhost:8080/character/8,57,0,0
1742164845974,68,GET  Request/character/id,404,Not Found,Thread Group 100 1-10,text,false,,273,128,91,91,http://localhost:8080/character/8,68,0,0
1742164845975,69,GET  Request/character/id,404,Not Found,Thread Group 100 1-6,text,false,,273,128,91,91,http://localhost:8080/character/9,69,0,0
1742164845975,71,GET  Request/character/id,200,OK,Thread Group 100 1-5,text,true,,267,128,92,92,http://localhost:8080/character/6,71,0,0
1742164845975,89,GET  Request/character/id,404,Not Found,Thread Group 100 1-7,text,false,,273,128,95,95,http://localhost:8080/character/3,89,0,0
1742164845979,103,POST Request//character new,201,Created,Thread Group 100 1-19,text,true,,272,222,96,96,http://localhost:8080/character,102,0,0
